group_value,N,lambda_worst_mean,lambda_worst_min,lambda_worst_max,lambda_mean_mean,lambda_mean_min,lambda_mean_max,lambda_best_mean,lambda_best_min,lambda_best_max,t0_worst_mean,t0_worst_min,t0_worst_max
C1_track_plane_aligned,1,0.165581090596339,0.165581090596339,0.165581090596339,8180.5709642954,8180.5709642954,8180.5709642954,15343.7943240563,15343.7943240563,15343.7943240563,290,290,290
C2_small_crossing_angle,1,0,0,0,231.693945241033,231.693945241033,231.693945241033,3931.99775673356,3931.99775673356,3931.99775673356,50,50,50
