group_value,N,dur_mean,dur_min,dur_max,rmin_mean,rmin_min,rmin_max,hmin_mean,hmin_min,hmin_max,hmax_mean,hmax_min,hmax_max,vmin_mean,vmin_min,vmin_max,vmax_mean,vmax_min,vmax_max,pass_rate
0,12,354.333333333333,353,357,1202.1680515205,1201.80570955144,1202.54331719529,41.0564368673987,41.0552009975538,41.0587470005667,59.8135913987346,59.8131582779614,59.8141037646895,4676.66236460528,4673.50743652907,4678.2414556764,5500,5500,5500,1
-30,12,800,800,800,1452.85278659832,1375.33366863892,1523.02885778599,38.8058023510817,38.8049912857404,38.8067543779826,59.811930490518,59.7989290605411,59.8189591439618,3605.92920135686,3605.92870857249,3605.93132907934,5500,5500,5500,1
30,12,800,800,800,1452.85278659832,1375.33366863892,1523.02885778599,38.8058023510777,38.8049912857404,38.8067543779826,59.8119304905243,59.7989290605411,59.8189591439618,3605.92920135686,3605.92870857249,3605.93132907934,5500,5500,5500,1
-60,12,800,800,800,2569.01954221342,2519.08250259934,2598.95674972913,38.8058420344651,38.8049792568739,38.8067543779826,59.8159238755138,59.8131582779614,59.821607278917,3605.92927261053,3605.92874103818,3605.9314087073,5500,5500,5500,1
60,12,800,800,800,2569.01954221342,2519.08250259934,2598.95674972913,38.8058420344619,38.8049792568739,38.8067543779826,59.8159238755207,59.8131582779614,59.821607278917,3605.92927261054,3605.92874103818,3605.9314087073,5500,5500,5500,1
