group_value,N,lambda_worst_mean,lambda_worst_min,lambda_worst_max,D_G_mean,D_G_min,D_G_max,pass_ratio,t0_worst_mean,t0_worst_min,t0_worst_max
0,12,208.794132659248,0,2476.93996713633,208.794132659248,0,2476.93996713633,0.333333333333333,220.416666666667,30,295
-30,12,0.00323890164349194,0,0.0388668197219033,0.00323890164349194,0,0.0388668197219033,0,407.916666666667,195,595
30,12,0.0243240540683326,0,0.291888648819992,0.0243240540683326,0,0.291888648819992,0,412.5,35,735
-60,12,84.115217233292,0,843.443418357327,84.115217233292,0,843.443418357327,0.25,291.666666666667,0,625
60,12,106.977690572558,0,781.632812331738,106.977690572558,0,781.632812331738,0.25,340.833333333333,40,625
