group_value,N,dur_mean,dur_min,dur_max,rmin_mean,rmin_min,rmin_max,hmin_mean,hmin_min,hmin_max,hmax_mean,hmax_min,hmax_max,vmin_mean,vmin_min,vmin_max,vmax_mean,vmax_min,vmax_max,pass_rate
nominal,12,354.333333333333,353,357,1202.1680515205,1201.80570955144,1202.54331719529,41.0564368673987,41.0552009975538,41.0587470005667,59.8135913987346,59.8131582779614,59.8141037646895,4676.66236460528,4673.50743652907,4678.2414556764,5500,5500,5500,1
heading,60,710.866666666667,353,800,1849.1825418288,1201.80570955144,2598.95674972913,39.255945127697,38.8049792568739,41.0587470005667,59.8138600261623,59.7989290605411,59.821607278917,3820.07586250801,3605.92870857249,4678.2414556764,5500,5500,5500,1
critical,2,378.5,377,380,1203.34621777601,1203.2867762491,1203.40565930291,41.0188242100645,40.9786864386424,41.0589619814865,59.7537790728966,59.696740404075,59.8108177417181,4649.06316916995,4643.42154411787,4654.70479422203,5500,5500,5500,1
