group_value,N,dur_mean,dur_min,dur_max,rmin_mean,rmin_min,rmin_max,hmin_mean,hmin_min,hmin_max,hmax_mean,hmax_min,hmax_max,vmin_mean,vmin_min,vmin_max,vmax_mean,vmax_min,vmax_max,pass_rate
C1_track_plane_aligned,1,377,377,377,1203.2867762491,1203.2867762491,1203.2867762491,41.0589619814865,41.0589619814865,41.0589619814865,59.8108177417181,59.8108177417181,59.8108177417181,4654.70479422203,4654.70479422203,4654.70479422203,5500,5500,5500,1
C2_small_crossing_angle,1,380,380,380,1203.40565930291,1203.40565930291,1203.40565930291,40.9786864386424,40.9786864386424,40.9786864386424,59.696740404075,59.696740404075,59.696740404075,4643.42154411787,4643.42154411787,4643.42154411787,5500,5500,5500,1
