group_value,N,lambda_worst_mean,lambda_worst_min,lambda_worst_max,lambda_mean_mean,lambda_mean_min,lambda_mean_max,lambda_best_mean,lambda_best_min,lambda_best_max,t0_worst_mean,t0_worst_min,t0_worst_max
nominal,12,208.794132659248,0,2476.93996713633,4368.6314644727,249.79114132188,10672.5326156824,10183.9746870293,4000.68057664313,15663.3552679242,220.416666666667,30,295
heading,60,79.982920684162,0,2476.93996713633,3777.51564099985,249.79114132188,10672.5326156824,11029.2379409985,4000.68057664313,18589.5002367788,334.666666666667,0,735
critical,2,0.0827905452981693,0,0.165581090596339,4206.13245476822,231.693945241033,8180.5709642954,9637.89604039492,3931.99775673356,15343.7943240563,170,50,290
